🇨🇳河南地方,#genre#
河南卫视,http://tvcdn.stream3.hndt.com/tv/65c4a6d5017e1000b2b6ea2500000000_transios/playlist.m3u8?wsSecret=30a410bcef07e8eca07036d4713d0c6a&wsTime=1712831708
新闻频道,http://tvcdn.stream3.hndt.com/tv/65bb6966017e100059b75a8500000000_transios/playlist.m3u8?wsSecret=9b0043ef3e9bfbb7614911f7c8b031e2&wsTime=1712831708
都市频道,http://tvcdn.stream3.hndt.com/tv/65c3fbc5017e1000fde13faa00000000_transios/playlist.m3u8?wsSecret=2ccdd6a2a6df6d3a83a823662baca960&wsTime=1712831708
民生频道,http://tvcdn.stream3.hndt.com/tv/65bef28a017e10009c49d5f900000000_transios/playlist.m3u8?wsSecret=51467a74c0cd1b5bfd388e6da504231f&wsTime=1712831708
法治频道,http://tvcdn.stream3.hndt.com/tv/65be54a9017e1000af59fb4800000000_transios/playlist.m3u8?wsSecret=ef9ed26a1add3d345383ef4235df8a67&wsTime=1712831708
公共频道,http://tvcdn.stream3.hndt.com/tv/65b93894017e10000ae6b07d00000000_transios/playlist.m3u8?wsSecret=3f393c91e6dee36f7913d66217c37e00&wsTime=1712831708
河南乡村频道,http://tvcdn.stream3.hndt.com/tv/65b8302b017e100019dc540f00000000_transios/playlist.m3u8?wsSecret=c9be55fe82fa3cdf40bbb92f61fb6ffc&wsTime=1712831708
电视剧频道,http://tvcdn.stream3.hndt.com/tv/65bd329b017e1000648cd2ed00000000_transios/playlist.m3u8?wsSecret=cdf587da40edaf2d64eb7a0fd77c2f9c&wsTime=1712831708
河南国际,http://tvcdn.stream3.hndt.com/tv/65b7751f017e1000d8998f0900000000_transios/playlist.m3u8?wsSecret=8e6975c27c51ab000a99aa96655fa6b2&wsTime=1712831708
梨园频道,http://tvcdn.stream3.hndt.com/tv/65b67b15017e1000258a2b2400000000_transios/playlist.m3u8?wsSecret=cbfdbaa30eed6f909073d56a1b9af574&wsTime=1712831708
文物宝库,http://tvcdn.stream3.hndt.com/tv/65b5a69d017e1000aa645bea00000000_transios/playlist.m3u8?wsSecret=ca422843dfb4d9d344f585f0126ef646&wsTime=1712831708
武术频道,http://tvcdn.stream3.hndt.com/tv/65b4b750017e1000dbb9306200000000_transios/playlist.m3u8?wsSecret=ff373f84e2a083a42ea1ddf7200a092e&wsTime=1712831708
睛彩中原,http://tvcdn.stream3.hndt.com/tv/65b27d4c017e100039bd55c200000000_transios/playlist.m3u8?wsSecret=3705ad819d0eb3470b7d777fbea9643e&wsTime=1712831708
移动戏曲频道,https://tvcdn.stream3.hndt.com/tv/160ea8971f8b41f0905f88c7afe3effe_transios/playlist.m3u8?wsSecret=cf270d977c5d4f8751c6aaa1b8643cfe&wsTime=1712831708
象视界,http://tvcdn.stream3.hndt.com/tv/d34d1a2b0178100022de972e00000000_transios/playlist.m3u8?wsSecret=1a41aaebb98f2b4ee479e5e79a2e3313&wsTime=1712831708
国学频道,rtmp://rtmp.tv.stream3.hndt.com/tv/647f9277018410008cf925e200000000?wsSecret=9a23316ee66e918684e097f?wsSecret=94e2b04a115ef25877542fbbc2e90e98&wsTime=1712831708
欢腾购物,http://tvcdn.stream3.hndt.com/tv/65ba653b017e1000d4ee41c700000000_transios/playlist.m3u8?wsSecret=d2696245c396b7586641592a064b4e57&wsTime=1712831708
